nta,Monday|0,Monday|1,Monday|2,Monday|3,Monday|4,Monday|5,Monday|6,Monday|7,Monday|8,Monday|9,Monday|10,Monday|11,Monday|12,Monday|13,Monday|14,Monday|15,Monday|16,Monday|17,Monday|18,Monday|19,Monday|20,Monday|21,Monday|22,Monday|23,Tuesday|0,Tuesday|1,Tuesday|2,Tuesday|3,Tuesday|4,Tuesday|5,Tuesday|6,Tuesday|7,Tuesday|8,Tuesday|9,Tuesday|10,Tuesday|11,Tuesday|12,Tuesday|13,Tuesday|14,Tuesday|15,Tuesday|16,Tuesday|17,Tuesday|18,Tuesday|19,Tuesday|20,Tuesday|21,Tuesday|22,Tuesday|23,Wednesday|0,Wednesday|1,Wednesday|2,Wednesday|3,Wednesday|4,Wednesday|5,Wednesday|6,Wednesday|7,Wednesday|8,Wednesday|9,Wednesday|10,Wednesday|11,Wednesday|12,Wednesday|13,Wednesday|14,Wednesday|15,Wednesday|16,Wednesday|17,Wednesday|18,Wednesday|19,Wednesday|20,Wednesday|21,Wednesday|22,Wednesday|23,Thursday|0,Thursday|1,Thursday|2,Thursday|3,Thursday|4,Thursday|5,Thursday|6,Thursday|7,Thursday|8,Thursday|9,Thursday|10,Thursday|11,Thursday|12,Thursday|13,Thursday|14,Thursday|15,Thursday|16,Thursday|17,Thursday|18,Thursday|19,Thursday|20,Thursday|21,Thursday|22,Thursday|23,Friday|0,Friday|1,Friday|2,Friday|3,Friday|4,Friday|5,Friday|6,Friday|7,Friday|8,Friday|9,Friday|10,Friday|11,Friday|12,Friday|13,Friday|14,Friday|15,Friday|16,Friday|17,Friday|18,Friday|19,Friday|20,Friday|21,Friday|22,Friday|23,Saturday|0,Saturday|1,Saturday|2,Saturday|3,Saturday|4,Saturday|5,Saturday|6,Saturday|7,Saturday|8,Saturday|9,Saturday|10,Saturday|11,Saturday|12,Saturday|13,Saturday|14,Saturday|15,Saturday|16,Saturday|17,Saturday|18,Saturday|19,Saturday|20,Saturday|21,Saturday|22,Saturday|23,Sunday|0,Sunday|1,Sunday|2,Sunday|3,Sunday|4,Sunday|5,Sunday|6,Sunday|7,Sunday|8,Sunday|9,Sunday|10,Sunday|11,Sunday|12,Sunday|13,Sunday|14,Sunday|15,Sunday|16,Sunday|17,Sunday|18,Sunday|19,Sunday|20,Sunday|21,Sunday|22,Sunday|23
BK,0.00440575,0.002840651,0.001985154,0.001546561,0.001812283,0.002381936,0.003857754,0.006105027,0.007527349,0.00690887,0.005737111,0.005232462,0.005285458,0.005376031,0.005669504,0.00588194,0.00602483,0.006623995,0.007038814,0.006833764,0.006351274,0.006038875,0.00575956,0.004911869,0.003353753,0.002013648,0.001323845,0.001025928,0.001354764,0.002101376,0.003797373,0.006408553,0.00791348,0.00711796,0.005804539,0.005264205,0.005321581,0.005417988,0.005817259,0.0061139,0.006222817,0.0070446,0.007605364,0.007504754,0.006939546,0.006736581,0.00652261,0.005675791,0.003892035,0.002291314,0.00148668,0.001136315,0.001426023,0.00213779,0.003888333,0.006575234,0.00815803,0.007409995,0.006059369,0.005515382,0.005569202,0.005640493,0.00601426,0.006166734,0.006324025,0.007255872,0.007789095,0.007737053,0.007218942,0.007020017,0.007029699,0.006250034,0.004267806,0.002544657,0.001659146,0.001253831,0.001501193,0.002194632,0.003991238,0.006670817,0.008247294,0.007508568,0.006200933,0.005662377,0.005638699,0.005724828,0.006138353,0.006393474,0.006555645,0.007476923,0.008175485,0.008187413,0.007726726,0.007688793,0.007854164,0.007169695,0.005294412,0.003352654,0.002264857,0.00168187,0.001822821,0.002311436,0.003980587,0.006615946,0.008275772,0.007667281,0.006453193,0.006031344,0.005984861,0.006154306,0.006650436,0.006928523,0.007178391,0.008148882,0.009131883,0.009590405,0.009229858,0.009186301,0.009636871,0.010212132,0.009361438,0.007470033,0.005742988,0.004360426,0.003439374,0.002481295,0.002784802,0.003666132,0.004883985,0.006043768,0.006586055,0.007103207,0.007451305,0.00765745,0.007911546,0.008201591,0.008364429,0.009073978,0.010124806,0.010761046,0.010538299,0.010646937,0.011074163,0.011665369,0.010824475,0.00906968,0.00670584,0.005153241,0.003973668,0.002554983,0.002466849,0.003116901,0.003982485,0.005314795,0.00652253,0.007180765,0.007268661,0.007460487,0.007611812,0.007689021,0.00762786,0.007780755,0.008040069,0.007834083,0.00743077,0.007205724,0.006996297,0.006045148
BX,0.004524523,0.003060716,0.002154926,0.001740606,0.001993037,0.002837825,0.004712365,0.007859492,0.00984168,0.008319959,0.006782425,0.005965758,0.005984576,0.006366227,0.006641022,0.006685375,0.006481802,0.006922326,0.006520147,0.00592224,0.005607139,0.005334514,0.005060512,0.004516637,0.003242841,0.002063801,0.001395297,0.001153631,0.001535031,0.002526647,0.004603549,0.008352671,0.010319922,0.008593211,0.006984912,0.006172084,0.006219149,0.006593498,0.006937054,0.006960128,0.006839003,0.007386382,0.006884649,0.006320747,0.00581793,0.005635428,0.005184933,0.004580517,0.003320949,0.002125094,0.001439983,0.001206495,0.001534864,0.002531904,0.004622825,0.008405786,0.01056914,0.008946572,0.007280694,0.00638229,0.006486851,0.006880518,0.007246648,0.007134785,0.006932465,0.00749983,0.007044911,0.00638955,0.005980362,0.005809835,0.005324041,0.004731308,0.003441031,0.002222144,0.001545212,0.001287648,0.001600705,0.002656617,0.004761725,0.008492113,0.010694354,0.008895293,0.007397731,0.00653425,0.006559326,0.006916693,0.007298719,0.007240848,0.007297509,0.00793326,0.007552026,0.007058221,0.006652579,0.00653717,0.006069568,0.00548034,0.004089633,0.002752958,0.001945763,0.001600788,0.001884596,0.00286069,0.004965381,0.008648119,0.011018175,0.009421685,0.007754347,0.007023173,0.006946317,0.007233296,0.007638646,0.007758019,0.0077445,0.008439332,0.008645282,0.00856271,0.008368109,0.008322129,0.008383922,0.008127611,0.006855659,0.005239225,0.003943532,0.003194878,0.002957608,0.002924572,0.003702291,0.004964703,0.006415301,0.007284555,0.006890701,0.006769692,0.006936673,0.007271128,0.007583804,0.007793482,0.007705918,0.008018799,0.008313299,0.008690492,0.00898622,0.009249157,0.009275521,0.009158646,0.008020191,0.006605044,0.004946772,0.00405922,0.003430143,0.002790258,0.00316569,0.003784615,0.004148339,0.005286876,0.006131486,0.00625139,0.006072782,0.006274888,0.006676233,0.006829746,0.00660619,0.006663993,0.006749264,0.006786722,0.00687928,0.006879116,0.006642296,0.005966797
MN,0.002843631,0.001868543,0.001309611,0.000967976,0.001109678,0.001623753,0.003455299,0.005831443,0.007190441,0.006688724,0.00565882,0.005608534,0.005842827,0.005890992,0.006325926,0.006641201,0.006611714,0.007891888,0.00897121,0.008272652,0.007599595,0.007263835,0.006349231,0.00448334,0.002878532,0.001676489,0.001060932,0.000732389,0.000891774,0.001541935,0.003667213,0.006541704,0.008053793,0.00726637,0.00608446,0.005988908,0.006275327,0.006336826,0.006881935,0.007149306,0.006999135,0.008432718,0.009749678,0.00926566,0.008770338,0.008701626,0.007837511,0.005729264,0.003616977,0.002077012,0.001313884,0.000895092,0.000999473,0.001586806,0.003745218,0.006722171,0.008351273,0.007613788,0.006353004,0.006305162,0.006618457,0.006640933,0.006953101,0.007116956,0.006980603,0.008589542,0.00992862,0.009644267,0.009106785,0.009062651,0.008390104,0.006431838,0.004117032,0.002401085,0.001491482,0.00100911,0.001083413,0.001635108,0.003778518,0.006744476,0.008328943,0.007603772,0.006454531,0.006403619,0.006642852,0.00668631,0.007176672,0.007306418,0.007105975,0.008607922,0.010033278,0.009993988,0.009572206,0.009670349,0.009270559,0.007757444,0.005456816,0.003455819,0.002220941,0.001482173,0.001385419,0.001711881,0.003576762,0.006288863,0.007936992,0.007518958,0.006538441,0.006583843,0.006815531,0.006812581,0.007294761,0.007334643,0.00721623,0.00864444,0.009957202,0.010379095,0.009356176,0.009060534,0.009426767,0.009204625,0.007984057,0.006383636,0.004975174,0.003533028,0.00236706,0.001397422,0.0017327,0.002481638,0.003679965,0.005134153,0.006174358,0.006949655,0.007516327,0.007696551,0.007537051,0.007739699,0.007810667,0.00865158,0.009488732,0.009968306,0.008776505,0.008522364,0.009123468,0.009219923,0.008141198,0.006979304,0.00527218,0.00398329,0.002620621,0.001390806,0.001433241,0.001908647,0.002850564,0.004185263,0.005560187,0.006560267,0.007133734,0.007171227,0.007103361,0.006929322,0.006935521,0.007218578,0.007400343,0.006775264,0.006112815,0.00582632,0.005204512,0.004066459
QN,0.00515523,0.003124417,0.001882147,0.001619194,0.002136574,0.003036116,0.00461125,0.006629001,0.007893018,0.007269989,0.006577866,0.006093253,0.006061008,0.006446276,0.007099442,0.007082548,0.007211507,0.007387429,0.007360127,0.007027014,0.006777757,0.006810275,0.006495506,0.005766965,0.004073257,0.002295421,0.001321864,0.00114406,0.001605135,0.002602502,0.004218657,0.006539158,0.007681018,0.006969847,0.006316455,0.005793429,0.005842772,0.006216498,0.006782065,0.0069098,0.007064996,0.007353188,0.007396228,0.007235657,0.006913928,0.006949869,0.006510631,0.005669208,0.003980739,0.0022844,0.001380346,0.001193335,0.001606337,0.002560778,0.004155096,0.006429519,0.007571787,0.006929551,0.006239288,0.005786036,0.005873294,0.006258064,0.006851659,0.006944336,0.007113932,0.007474098,0.007568068,0.007333369,0.007049191,0.007058579,0.00668424,0.005815243,0.00414022,0.002308392,0.001425244,0.001284607,0.001748607,0.002684975,0.00435222,0.006507956,0.007670542,0.006988283,0.006377522,0.005976811,0.006056949,0.006470676,0.007115383,0.007225022,0.00748208,0.008020209,0.008088237,0.007979369,0.007663013,0.007843516,0.007596776,0.006663197,0.00498128,0.003036842,0.0018565,0.001572662,0.00200732,0.002833958,0.004481066,0.006569794,0.007915014,0.007342757,0.006688027,0.006310151,0.006412579,0.006900072,0.007706982,0.007909866,0.008272345,0.008743829,0.009082997,0.009107011,0.008848457,0.008951271,0.00892542,0.008597295,0.007164168,0.00525121,0.0037666,0.003124491,0.0031891,0.002865898,0.003520267,0.004207273,0.005506221,0.00628627,0.006625001,0.006705318,0.006918679,0.007271627,0.007661196,0.00796622,0.007805587,0.008262635,0.008498089,0.008728048,0.008674563,0.008880004,0.008778752,0.008737037,0.007229889,0.00573569,0.004295666,0.003776946,0.003686818,0.002813971,0.003028734,0.003318674,0.004002388,0.005279488,0.006314103,0.006335928,0.006655615,0.007112752,0.007559899,0.007743804,0.007900944,0.007872444,0.00801866,0.007897896,0.008022931,0.008110301,0.007947332,0.007120739
SI,0.003155438,0.002426082,0.00175944,0.001473031,0.001811784,0.002615211,0.004874386,0.008115252,0.009972467,0.008322652,0.007100969,0.006912334,0.00756268,0.007426389,0.00779477,0.007601197,0.007294542,0.006791845,0.005945951,0.005250668,0.004658097,0.004273914,0.003817635,0.002968778,0.002138192,0.00153377,0.001092305,0.00105922,0.001536239,0.002527807,0.005004257,0.00817846,0.009775931,0.00868807,0.007647122,0.007424414,0.007410587,0.007542928,0.008414994,0.008156732,0.007969085,0.007383428,0.006470869,0.005787932,0.004963765,0.004549953,0.004081823,0.003369257,0.002348554,0.001610804,0.001195511,0.001098231,0.001459699,0.002450279,0.005110426,0.008340923,0.010576889,0.008837201,0.007849583,0.007511324,0.008066859,0.007852052,0.008461412,0.008217964,0.007991306,0.007417007,0.006564199,0.005737069,0.005120302,0.004767229,0.004493659,0.003606285,0.002660641,0.001966346,0.001467106,0.001381183,0.001617223,0.002512992,0.004990925,0.008408081,0.009988762,0.008777943,0.007888594,0.007776993,0.007737489,0.007827362,0.008564618,0.008453511,0.008412031,0.007847608,0.007152325,0.006346923,0.005642258,0.005396835,0.005201781,0.004389466,0.003355924,0.002508548,0.001907089,0.001559942,0.001691789,0.002616198,0.005047713,0.008603135,0.01058232,0.009081636,0.008509312,0.008093525,0.008175497,0.008439685,0.009330022,0.009356687,0.009280147,0.008875718,0.008584864,0.008689058,0.007865385,0.007719711,0.008198706,0.007848595,0.006616701,0.005424367,0.004467012,0.003450064,0.002710246,0.002548426,0.003556168,0.005274175,0.00705662,0.007086173,0.007230552,0.007527061,0.00834779,0.007931127,0.008222306,0.008341976,0.008320658,0.00816659,0.008613291,0.008930148,0.008588097,0.008610384,0.008855537,0.008764452,0.007620083,0.006668542,0.004996561,0.003937463,0.002839121,0.002283409,0.002953461,0.003738337,0.00440742,0.005479599,0.00642678,0.006535791,0.006311956,0.006516896,0.006664181,0.006679685,0.006359921,0.006174845,0.005960215,0.005675819,0.005505278,0.0050547,0.004815362,0.004107035
NYC,0.003569526,0.002308706,0.001576974,0.001222733,0.001447155,0.00204897,0.003785286,0.006150673,0.007557176,0.006936213,0.005886803,0.005636747,0.005788321,0.005912585,0.006338119,0.006566911,0.00657658,0.007509529,0.008196909,0.007647068,0.007092885,0.006815015,0.006149058,0.004728383,0.003149245,0.001849694,0.001169588,0.000875059,0.001124618,0.001866169,0.003841543,0.006657986,0.008152835,0.007304013,0.006137974,0.005849,0.006041553,0.006174489,0.00668235,0.006915576,0.006856682,0.007945689,0.008804791,0.008428877,0.007941088,0.007850805,0.007197867,0.005613283,0.003687886,0.002145548,0.001363603,0.001004054,0.001202284,0.001894252,0.003898964,0.006787733,0.008385616,0.007588441,0.006359313,0.006100684,0.006321435,0.006426993,0.00679407,0.00692375,0.006878007,0.008104016,0.0089818,0.008717366,0.008226204,0.00814912,0.007660376,0.00617447,0.004090362,0.002399953,0.001517823,0.001114338,0.001291513,0.001959938,0.003973945,0.006836207,0.00840764,0.007604677,0.006473997,0.006225493,0.006376895,0.006500929,0.006991157,0.00712662,0.007074973,0.008263613,0.009227025,0.009150322,0.008734772,0.008800785,0.008523761,0.007314903,0.005250601,0.003323607,0.002158553,0.001540808,0.0015887,0.002063278,0.003883246,0.006573321,0.00823763,0.007671023,0.006642865,0.006484835,0.006623753,0.00674138,0.007266502,0.007378531,0.007401328,0.008551317,0.009581878,0.009918868,0.009183709,0.009007649,0.009315871,0.009225827,0.008042408,0.006346991,0.00487957,0.003608509,0.002723013,0.001914932,0.002323166,0.003131898,0.004369245,0.005626892,0.006370306,0.006936264,0.007387255,0.007602964,0.007631471,0.007864192,0.007909352,0.008629864,0.009384852,0.009852007,0.009107331,0.009021901,0.009452593,0.009606711,0.008510582,0.007175988,0.005385179,0.004180336,0.003076991,0.001906458,0.00197548,0.002471172,0.003320592,0.004631285,0.005888227,0.006624054,0.007013024,0.00714853,0.007226003,0.007171875,0.007166927,0.0073647,0.007546814,0.007117944,0.0066672,0.006461988,0.006009148,0.004984008
ALLERTON-PELHAM GARDENS,0.004113588,0.002579486,0.001670002,0.001510581,0.001845104,0.003209331,0.005498723,0.008062528,0.009447663,0.007918788,0.007396096,0.006580696,0.006504905,0.006936126,0.007134749,0.00715043,0.006700915,0.007069413,0.006293215,0.005882901,0.005025686,0.004913307,0.004445498,0.004249488,0.002955825,0.001709204,0.001183898,0.00123094,0.001429563,0.003091725,0.005608488,0.008726347,0.009959901,0.008208882,0.007236674,0.007207926,0.006970101,0.00721054,0.007662669,0.007176565,0.00673489,0.007571197,0.006753184,0.005848926,0.005273965,0.004800928,0.004390615,0.004421977,0.002676184,0.001594211,0.001113335,0.00115515,0.001588984,0.003298188,0.00571564,0.008893609,0.010278743,0.008402278,0.007819476,0.007623467,0.007187019,0.007908334,0.007863905,0.007220994,0.007032824,0.007913561,0.006656486,0.006005734,0.005595421,0.005169427,0.004685936,0.004335732,0.002825152,0.001858171,0.001369454,0.001275369,0.001581144,0.003460223,0.005817565,0.00891713,0.010323172,0.008742028,0.00782993,0.007728005,0.007095548,0.007581651,0.008070369,0.007241901,0.007568584,0.00802594,0.006988396,0.006353324,0.0059796,0.005592807,0.004921148,0.004902853,0.003656232,0.002315527,0.001641254,0.001497513,0.001683069,0.003507265,0.006167769,0.008998147,0.01087984,0.009638445,0.008407505,0.008214109,0.007887426,0.008185361,0.008370917,0.008263765,0.007973671,0.008734188,0.008383984,0.007571197,0.007592105,0.007119069,0.007704484,0.007633921,0.005820622,0.004418032,0.003341088,0.00268723,0.002317992,0.003084673,0.004612907,0.005392409,0.006982182,0.007666811,0.00772835,0.008212975,0.007779633,0.007941175,0.007910405,0.00813605,0.007687324,0.007559116,0.008184769,0.008138614,0.007961688,0.007866814,0.008379645,0.008523237,0.006956541,0.005382152,0.003974434,0.003141085,0.002492355,0.002712871,0.003623145,0.004292388,0.004707781,0.005938573,0.007105262,0.007418088,0.006812949,0.006351401,0.007023209,0.007010388,0.006169347,0.006466788,0.006636022,0.006507815,0.006118064,0.005956522,0.005715492,0.005838571
ANNADALE-HUGUENOT-PRINCE'S BAY-ELTINGVILLE,0.00402942,0.004844712,0.003151414,0.002978949,0.002336123,0.002649697,0.004358673,0.007180835,0.007212192,0.007071084,0.006396901,0.00664776,0.007024048,0.007384657,0.006146042,0.006788868,0.005738396,0.005487537,0.004923105,0.004923105,0.003825597,0.003684489,0.003433631,0.00319845,0.002242051,0.001959835,0.001818727,0.001505153,0.001473796,0.002398838,0.005064213,0.006569366,0.007071084,0.00771391,0.007776624,0.007384657,0.007368979,0.006538009,0.006914297,0.008325378,0.006914297,0.006240114,0.004829033,0.005895183,0.004907426,0.003998063,0.004186207,0.003982384,0.002884877,0.002618339,0.002242051,0.001740333,0.001724655,0.002085264,0.004452745,0.005989255,0.00688294,0.006600724,0.007431693,0.007902054,0.007400336,0.007243549,0.006381222,0.006977012,0.006945654,0.005942219,0.004766318,0.005299393,0.004421387,0.003825597,0.004327315,0.003700168,0.003073021,0.003370916,0.003151414,0.002649697,0.001881441,0.002022549,0.004421387,0.006161721,0.007384657,0.00664776,0.007416015,0.007243549,0.007368979,0.006820225,0.007337621,0.007290585,0.007729588,0.006193078,0.005503216,0.005707039,0.005268036,0.004687925,0.004797676,0.004844712,0.004295958,0.003935348,0.003700168,0.003574739,0.002398838,0.001975513,0.004468423,0.007024048,0.007635516,0.007651195,0.008137234,0.007306264,0.007635516,0.007902054,0.007212192,0.007917732,0.00771391,0.007212192,0.007541444,0.008560558,0.007917732,0.00854488,0.010990753,0.011351363,0.010921826,0.015321323,0.019213185,0.016582717,0.005707039,0.00247664,0.003307314,0.004537942,0.005845485,0.006153142,0.00641465,0.006260822,0.006799222,0.005522445,0.005830102,0.006276204,0.006153142,0.006753073,0.007645278,0.009245095,0.010875678,0.009937324,0.011075655,0.012752386,0.011014124,0.014490649,0.014736774,0.012783152,0.005184022,0.002338194,0.002584319,0.002722765,0.002953508,0.004384113,0.005691656,0.004553325,0.005322468,0.004368731,0.004645622,0.004414879,0.00512249,0.004984045,0.004707153,0.005199405,0.005260936,0.005383999,0.004707153,0.004984045
ARDEN HEIGHTS,0.003312206,0.00290139,0.00225949,0.001771645,0.003183826,0.002695982,0.006239272,0.008883902,0.011708264,0.00908931,0.007600101,0.006393328,0.006393328,0.006470357,0.008498762,0.006393328,0.006496033,0.004878443,0.003928431,0.004159515,0.004159515,0.002952742,0.003877079,0.002927066,0.001694617,0.001848673,0.001283801,0.001720293,0.002028405,0.002978418,0.007548749,0.010681224,0.010475815,0.0113488,0.007959566,0.008858226,0.006983877,0.006778469,0.007471721,0.007009553,0.005648724,0.005777104,0.004955471,0.003979783,0.003491938,0.003106798,0.003774375,0.00315815,0.001822997,0.001797321,0.001951377,0.001925701,0.002131109,0.003363558,0.006393328,0.009063634,0.011528532,0.00908931,0.00857579,0.008293354,0.007369017,0.006983877,0.00793389,0.005597372,0.006547385,0.005263584,0.004082487,0.003954107,0.003902755,0.003594643,0.004364923,0.003106798,0.002156786,0.00264463,0.002233814,0.00264463,0.002490574,0.002670306,0.006675765,0.009448775,0.012760981,0.010552843,0.009012282,0.008550114,0.007856862,0.006958201,0.007291989,0.007343341,0.006855497,0.005597372,0.005905484,0.005725752,0.004750063,0.004082487,0.004262219,0.003620319,0.002208138,0.001900025,0.001822997,0.00225949,0.002079757,0.002952742,0.006239272,0.008498762,0.01360829,0.009243367,0.00896093,0.007856862,0.007523073,0.006958201,0.009012282,0.007959566,0.007369017,0.007446045,0.007163609,0.008139298,0.007600101,0.006958201,0.009679859,0.009474451,0.006423849,0.006071167,0.003552011,0.003879501,0.002796264,0.00256954,0.003249712,0.004937547,0.008791856,0.009925477,0.009094155,0.009371262,0.007280362,0.006423849,0.008237642,0.007532278,0.007507086,0.006398657,0.008968197,0.010857564,0.010378925,0.008842239,0.009950668,0.009900285,0.009094155,0.00982471,0.009320879,0.006726148,0.003677968,0.002493965,0.002443582,0.003929884,0.006801723,0.006197125,0.00692768,0.006826914,0.006423849,0.006449041,0.005743677,0.006197125,0.004584865,0.004358141,0.004307758,0.005265037,0.005290229,0.004206991,0.00498793,0.003602394
ASTORIA,0.005158425,0.003740779,0.002701806,0.002294218,0.00293709,0.003371217,0.004540903,0.006064308,0.0069694,0.005758915,0.004700928,0.004525059,0.004479904,0.004636364,0.004812629,0.004964336,0.004942946,0.005474118,0.006035789,0.00625721,0.005721285,0.005457085,0.005341028,0.004420093,0.003494008,0.002472067,0.001801468,0.001424776,0.001990012,0.002722007,0.0041044,0.006080153,0.006666382,0.005620675,0.004786486,0.004415339,0.004336515,0.004678747,0.004948492,0.005077224,0.005001569,0.005708214,0.006301969,0.006733719,0.006166899,0.006141548,0.006249288,0.005236061,0.004043004,0.002656254,0.001911188,0.001620846,0.002112011,0.002738643,0.004257295,0.006185912,0.006903647,0.005882102,0.004951264,0.00480748,0.004656961,0.00481659,0.005039991,0.005017017,0.004978991,0.00571772,0.006530123,0.006730947,0.006458033,0.006331677,0.006417235,0.005431339,0.004257691,0.002946596,0.002070817,0.001684222,0.002439191,0.002918869,0.004307996,0.006425949,0.006900874,0.006022322,0.005157633,0.004799161,0.004687461,0.004843525,0.005125549,0.005078017,0.005251509,0.006119763,0.006694505,0.007161905,0.00686879,0.007107243,0.007282716,0.006445754,0.005231704,0.003840201,0.002874506,0.002383341,0.003003239,0.003124446,0.004411775,0.006484968,0.007319949,0.006544383,0.005655532,0.005252697,0.005098614,0.005346177,0.005901511,0.006263943,0.006615285,0.007655447,0.008928516,0.009670017,0.009457311,0.009565446,0.010297441,0.010586199,0.010654613,0.009161117,0.00783784,0.006231643,0.005727981,0.003412927,0.003888607,0.004947229,0.006564308,0.00787748,0.008306525,0.008539701,0.008847106,0.009096605,0.009158785,0.009505441,0.009517877,0.010149397,0.011058397,0.011618797,0.011124075,0.011120188,0.011423706,0.01190133,0.011757537,0.010645674,0.008740233,0.007460483,0.006967314,0.003535345,0.00318286,0.003455287,0.004393046,0.006335795,0.00714686,0.007564246,0.00792295,0.007953263,0.007884475,0.007875537,0.008003007,0.008041481,0.008395909,0.00814641,0.007805195,0.00760272,0.007387421,0.006354449
