CT,WHITE,BLACK,ASIAN,OTHER
36061010602,3826,109,552,75
36061011000,5694,297,744,174
36061011401,1064,8,45,20
36061011402,1492,9,150,144
36061011600,2493,92,587,159
36061011800,7848,2,836,81
36061012000,2776,216,53,11
36061012200,2509,0,22,22
36061012400,7685,131,973,1263
36061012600,10927,207,1634,562
36061012800,5128,0,185,370
36061013000,3203,13,157,93
36061013200,8000,0,636,2214
36061013400,10163,633,1152,128
36061013600,14325,383,918,333
36061013800,10305,173,1508,215
36061014000,6791,78,443,217
36061014200,3977,5,384,127
36061014401,4369,34,481,134
36061014402,6117,83,472,271
36061014601,3279,6,723,260
36061014602,6883,27,515,135
36061014801,2672,11,267,185
36061014802,5531,16,677,562
36061015001,1832,0,271,23
36061015002,4603,51,206,139
36061015200,4775,912,590,1137
36061015400,10510,593,1238,1213
36061015601,3780,338,1043,163
36061015801,4422,20,548,146
36061016001,3300,11,229,215
36061023801,3851,792,3273,617
36061023802,1469,628,690,362
