CT,MALE,FEMALE
36061010602,1853,2709
36061011000,3069,3840
36061011401,563,574
36061011402,831,964
36061011600,1476,1855
36061011800,3900,4867
36061012000,1233,1823
36061012200,1127,1426
36061012400,4889,5163
36061012600,6074,7256
36061012800,2676,3007
36061013000,1432,2034
36061013200,4917,5933
36061013400,5342,6734
36061013600,6714,9245
36061013800,5267,6934
36061014000,3328,4201
36061014200,1946,2547
36061014401,2126,2892
36061014402,2883,4060
36061014601,2192,2076
36061014602,2815,4745
36061014801,1465,1670
36061014802,3066,3720
36061015001,898,1228
36061015002,2174,2825
36061015200,2992,4422
36061015400,5525,8029
36061015601,2565,2759
36061015801,2316,2820
36061016001,1769,1986
36061023801,3783,4750
36061023802,1715,1434
