SERIALNO,SPORDER,PWGTP,SEX,RAC1P,AGEP,COW,JWMNP,JWRIP,JWTR,MAR,SCHG,SCHL
2.01E+12,1,17,2,1,95,,,,,2,,12
2.01E+12,1,25,2,6,84,6,,,,4,,22
2.01E+12,1,36,1,1,51,1,25,,4,5,,21
2.01E+12,1,28,1,1,49,6,,,11,1,,21
2.01E+12,2,26,2,1,35,7,30,,4,1,,24
2.01E+12,3,22,1,1,4,,,,,5,1,2
2.01E+12,1,24,1,1,73,1,,,,1,,21
2.01E+12,2,25,2,1,74,1,,,,1,,19
2.01E+12,1,70,2,1,55,1,5,,7,3,,19
2.01E+12,1,25,1,1,30,1,5,,10,1,,16
2.01E+12,2,23,2,1,25,1,,,,1,,16
2.01E+12,1,12,1,1,64,1,,,,1,,22
2.01E+12,2,12,2,1,63,3,,,,1,,22
2.01E+12,1,32,2,1,74,7,30,1,1,3,,20
2.01E+12,2,36,1,1,30,1,15,1,1,5,,22
2.01E+12,1,69,1,1,36,1,20,,7,1,,21
2.01E+12,2,81,2,1,35,1,,,,1,,22
2.01E+12,3,66,1,1,4,,,,,5,1,2
2.01E+12,1,26,1,1,27,2,5,,10,1,16,21
2.01E+12,2,21,2,1,24,1,,,,1,,21
2.01E+12,1,27,2,1,31,1,100,,5,1,,21
2.01E+12,2,27,1,1,30,1,25,,10,1,,23
2.01E+12,1,15,1,1,67,7,30,1,1,5,,16
2.01E+12,1,85,2,1,29,1,35,,4,5,,21
2.01E+12,1,23,1,1,37,6,,,11,5,,22
2.01E+12,1,70,1,1,71,6,,,11,1,,23
2.01E+12,2,78,2,1,81,,,,,1,,15
2.01E+12,3,86,2,1,31,6,35,,4,5,,20
2.01E+12,1,82,2,1,36,1,20,,4,1,,21
2.01E+12,2,112,1,6,39,1,25,,4,1,,21
2.01E+12,1,82,2,1,68,1,20,,10,3,,19
2.01E+12,1,14,2,1,20,,,,,5,15,20
2.01E+12,1,44,1,1,34,2,30,,9,5,,22
2.01E+12,1,35,1,1,26,1,30,,4,5,,21
2.01E+12,1,25,2,1,61,,,,,1,,23
2.01E+12,2,26,1,1,61,6,45,,4,1,,23
2.01E+12,3,18,2,1,23,,,,,5,15,20
2.01E+12,1,23,1,1,27,1,45,,4,1,16,22
2.01E+12,1,29,1,2,58,,,,,3,,16
2.01E+12,1,34,2,1,54,2,15,,10,5,,23
2.01E+12,1,28,2,1,61,3,,,,5,,21
2.01E+12,1,45,2,1,69,1,,,,3,,21
2.01E+12,1,100,2,1,36,1,45,,4,5,,23
2.01E+12,1,12,2,1,44,3,60,1,1,1,,21
2.01E+12,2,16,1,1,52,,,,,1,,16
2.01E+12,3,13,1,1,11,,,,,5,8,9
2.01E+12,4,10,2,1,9,,,,,5,6,6
2.01E+12,1,17,1,1,46,1,15,,4,1,,23
2.01E+12,2,17,2,6,44,,,,,1,,23
2.01E+12,3,22,1,9,11,,,,,5,7,7
2.01E+12,4,22,1,9,7,,,,,5,3,3
2.01E+12,1,11,2,1,95,,,,,2,,16
2.01E+12,2,12,2,1,62,6,,,,5,,19
2.01E+12,3,14,2,6,72,1,60,,12,5,,15
2.01E+12,1,14,1,1,31,1,15,,7,1,,21
2.01E+12,2,13,2,1,29,2,,,,1,,21
2.01E+12,3,14,1,1,1,,,,,5,,
2.01E+12,1,24,2,1,31,1,15,,2,1,,24
2.01E+12,1,30,2,8,47,1,,,11,4,,17
2.01E+12,2,45,2,8,13,,,,,5,9,10
2.01E+12,3,45,2,8,10,,,,,5,6,7
2.01E+12,4,45,2,8,6,,,,,5,2,3
2.01E+12,1,23,1,1,64,2,10,,7,1,,22
2.01E+12,2,25,2,1,54,2,15,,7,1,15,19
2.01E+12,1,27,2,1,29,1,,,,5,,21
2.01E+12,1,30,2,1,73,,,,,3,,24
2.01E+12,1,26,1,1,74,7,15,,4,1,,20
2.01E+12,2,27,2,1,67,,,,,1,,19
2.01E+12,1,20,2,1,77,,,,,3,,16
2.01E+12,1,27,2,1,64,1,30,,2,1,,22
2.01E+12,2,28,1,1,67,1,25,,4,1,,21
2.01E+12,1,68,2,1,29,1,,,,5,16,21
2.01E+12,1,26,1,1,50,1,10,,4,1,,22
2.01E+12,2,17,2,1,48,,,,,1,,22
2.01E+12,3,23,1,1,16,,,,,5,13,14
2.01E+12,1,33,2,1,28,2,30,,4,5,15,21
2.01E+12,1,22,1,1,41,1,60,,5,1,,22
2.01E+12,2,26,2,1,35,1,,,,1,,19
2.01E+12,3,22,1,1,4,,,,,5,1,2
2.01E+12,4,23,2,1,2,,,,,5,,
2.01E+12,1,29,2,1,80,6,30,,2,5,,21
2.01E+12,1,98,2,1,38,2,20,,10,1,,23
2.01E+12,2,87,1,1,39,7,10,,7,1,,21
2.01E+12,3,127,1,6,15,,,,,5,12,13
2.01E+12,4,81,2,6,10,,,,,5,7,8
2.01E+12,5,82,1,1,2,,,,,5,,
2.01E+12,1,79,2,1,80,,,,,5,,20
2.01E+12,1,10,1,1,31,1,10,,10,5,,21
2.01E+12,1,18,2,1,56,1,10,,10,4,,21
2.01E+12,2,29,2,1,8,,,,,5,,6
2.01E+12,1,32,1,1,32,2,5,,10,1,,24
2.01E+12,2,49,2,1,34,1,35,,4,1,,24
2.01E+12,1,28,2,1,95,,,,,2,,21
2.01E+12,2,33,2,1,65,2,45,,4,3,,23
2.01E+12,3,27,2,1,25,1,45,,4,5,,21
2.01E+12,1,13,2,1,46,1,30,,2,1,,22
2.01E+12,2,17,1,1,45,6,50,1,1,1,,23
2.01E+12,3,18,1,1,9,,,,,5,6,6
2.01E+12,1,27,2,1,66,1,30,,2,3,,19
2.01E+12,1,84,2,1,64,1,30,,2,3,,22
2.01E+12,1,18,2,1,57,1,30,,10,5,,21
2.01E+12,1,43,1,1,78,,,,,5,,21
2.01E+12,1,24,2,1,48,2,40,1,1,5,,23
2.01E+12,2,30,2,1,74,,,,,3,,16
2.01E+12,1,66,1,6,40,1,40,,4,1,,22
2.01E+12,2,50,2,6,41,1,,,,1,,21
2.01E+12,3,41,2,6,9,,,,,5,5,5
2.01E+12,1,17,2,1,67,6,25,,4,2,,22
2.01E+12,1,81,1,1,55,2,45,,2,1,,22
2.01E+12,2,89,2,1,50,2,30,,10,1,,23
2.01E+12,1,29,1,1,35,1,45,,4,1,,21
2.01E+12,2,28,2,1,31,1,,,11,1,,21
2.01E+12,1,32,1,2,51,1,138,,2,5,,16
2.01E+12,1,79,2,1,69,1,,,,4,,22
2.01E+12,1,22,1,1,76,1,20,,10,1,,22
2.01E+12,2,21,2,1,70,1,,,,1,,22
2.01E+12,1,77,1,1,31,1,15,,7,1,,22
2.01E+12,2,72,2,1,29,1,,,,1,,21
2.01E+12,3,77,1,1,0,,,,,5,,
2.01E+12,1,53,1,1,52,1,20,10,1,5,,21
2.01E+12,1,40,1,1,28,6,,,,1,,20
2.01E+12,2,39,2,1,28,1,20,,4,1,,24
2.01E+12,1,11,2,1,65,,,,,3,,21
2.01E+12,1,29,1,6,27,1,30,,4,5,,21
2.01E+12,2,21,2,6,27,2,25,,4,5,,23
2.01E+12,1,67,1,1,40,1,90,,4,5,,23
2.01E+12,1,47,2,1,90,,,,,2,,22
2.01E+12,1,13,2,1,54,,,,,1,,23
2.01E+12,2,10,2,1,15,,,,,5,13,13
2.01E+12,1,91,2,1,58,,,,,1,,20
2.01E+12,2,97,1,1,61,1,30,,4,1,,21
2.01E+12,1,30,2,1,29,1,45,,4,1,,21
2.01E+12,2,32,1,1,28,1,30,,4,1,,22
2.01E+12,1,149,2,1,41,6,,,11,5,,23
2.01E+12,2,132,2,1,0,,,,,5,,
2.01E+12,1,15,2,1,23,2,25,,4,5,,21
2.01E+12,1,43,2,1,36,1,40,,4,5,,21
2.01E+12,1,24,1,1,30,1,30,,4,5,,22
2.01E+12,2,22,2,1,29,2,20,,2,5,,21
2.01E+12,1,66,2,1,30,6,5,,7,1,,24
2.01E+12,2,66,1,1,30,1,8,,2,1,,21
2.01E+12,1,66,2,1,57,1,50,,2,1,,22
2.01E+12,2,71,1,1,56,1,55,,2,1,,22
2.01E+12,3,48,2,1,22,1,,,,5,,21
2.01E+12,1,12,2,1,53,1,40,,4,5,,21
2.01E+12,1,25,2,9,28,1,25,,4,5,,21
2.01E+12,1,27,1,1,70,1,20,,4,1,,24
2.01E+12,2,28,2,1,68,6,25,,4,1,,22
2.01E+12,1,29,2,1,63,7,10,,10,3,,23
2.01E+12,2,26,1,1,23,1,30,,4,5,,22
2.01E+12,3,43,2,1,54,6,,,11,3,,16
2.01E+12,1,105,2,1,65,1,45,,2,2,,21
2.01E+12,2,71,2,1,24,2,40,,4,5,,21
2.01E+12,1,40,1,6,29,2,5,,10,1,,24
2.01E+12,1,23,2,1,26,2,5,,10,5,,22
2.01E+12,1,72,1,1,39,1,12,,4,1,,22
2.01E+12,2,84,2,1,38,1,,,,1,,21
2.01E+12,1,21,2,1,20,,,,,5,15,19
2.01E+12,1,41,2,1,65,1,45,,4,3,,23
2.01E+12,1,25,2,1,30,2,20,,10,1,,22
2.01E+12,2,25,1,1,31,1,40,,4,1,,21
2.01E+12,1,148,1,1,60,6,30,2,1,1,,15
2.01E+12,2,103,2,1,65,1,45,,2,1,,15
2.01E+12,1,25,1,1,35,1,45,1,1,1,,21
2.01E+12,2,29,2,1,35,1,15,,10,1,,24
2.01E+12,1,44,2,1,38,1,5,,10,5,,24
2.01E+12,1,30,2,1,42,2,30,,10,5,,24
2.01E+12,1,15,1,1,90,,,,,2,,16
2.01E+12,1,26,2,1,65,6,,,,5,,21
2.01E+12,1,13,2,1,65,6,,,11,3,,23
2.01E+12,1,99,2,1,43,2,25,,4,1,,22
2.01E+12,2,88,1,1,43,2,15,1,1,1,,22
2.01E+12,3,87,2,1,11,,,,,5,8,8
2.01E+12,4,87,2,1,9,,,,,5,5,5
2.01E+12,1,16,1,1,64,,,,,1,,21
2.01E+12,2,15,2,1,61,7,,,,1,,21
2.01E+12,1,38,1,1,31,1,10,,4,5,,21
2.01E+12,1,23,1,1,40,6,,,11,1,,22
2.01E+12,2,24,1,1,43,1,30,,10,1,,21
2.01E+12,3,30,1,1,6,,,,,5,,3
2.01E+12,4,37,2,1,3,,,,,5,,1
2.01E+12,1,27,1,1,71,,,,,4,,21
2.01E+12,1,90,1,1,71,,,,,1,,21
2.01E+12,2,95,2,1,69,,,,,1,,21
2.01E+12,1,26,1,1,29,1,20,,10,5,,21
2.01E+12,1,28,1,1,82,,,,,5,,17
2.01E+12,1,108,2,1,37,2,45,,7,3,,21
2.01E+12,1,48,2,1,89,,,,,2,,19
2.01E+12,1,14,2,1,21,1,30,,2,5,15,19
2.01E+12,2,19,2,1,21,1,20,,8,5,,18
2.01E+12,3,14,2,1,21,2,25,,10,5,15,19
2.01E+12,4,19,2,1,20,1,,,,5,15,19
2.01E+12,5,21,2,6,19,1,15,,7,5,15,20
2.01E+12,1,58,1,6,58,1,45,,4,1,,16
2.01E+12,2,39,2,6,56,1,45,,4,1,,16
2.01E+12,3,40,1,6,34,7,30,1,1,1,,19
2.01E+12,4,56,2,6,1,,,,,5,,
2.01E+12,5,33,2,6,32,1,,,,1,,21
2.01E+12,1,30,2,1,75,,,,,2,,16
2.01E+12,1,121,2,6,30,2,35,,4,5,,21
2.01E+12,1,19,1,6,54,2,,,,5,,21
2.01E+12,1,79,1,1,69,1,30,1,1,1,,21
2.01E+12,2,78,2,1,64,,,,,1,,22
2.01E+12,1,18,2,1,71,,,,,3,,21
2.01E+12,1,81,1,1,25,7,,,11,5,,21
2.01E+12,1,13,1,6,32,1,35,,4,5,,21
2.01E+12,1,41,2,1,23,7,10,,10,5,,21
2.01E+12,1,25,1,1,27,1,45,,4,5,,21
2.01E+12,2,32,1,1,27,1,45,,4,5,,21
2.01E+12,1,120,2,1,28,1,35,,4,5,,22
2.01E+12,1,95,2,1,78,1,75,,2,3,,19
2.01E+12,1,119,1,2,32,7,109,,10,5,,21
2.01E+12,1,47,2,9,61,5,40,,4,4,,22
2.01E+12,2,33,2,9,24,2,26,,4,5,,21
2.01E+12,1,29,2,1,66,2,,,,3,,22
2.01E+12,1,28,1,1,64,1,3,,10,1,,21
2.01E+12,2,27,2,1,63,3,30,,4,1,,21
2.01E+12,1,48,2,1,37,2,15,,10,5,,22
2.01E+12,1,33,2,1,47,2,30,,4,3,,23
2.01E+12,2,41,1,1,14,,,,,5,11,12
2.01E+12,1,79,2,8,43,1,15,,10,5,,20
2.01E+12,1,63,1,2,31,7,,,11,1,,22
2.01E+12,2,43,2,2,27,1,35,,4,1,,21
2.01E+12,1,16,2,1,22,,,,,5,15,19
2.01E+12,1,10,1,1,42,1,30,,10,4,,22
2.01E+12,1,25,2,1,25,1,40,,4,5,,21
2.01E+12,1,15,2,1,37,6,,,,5,,22
2.01E+12,1,106,2,1,33,1,45,,4,3,,21
2.01E+12,1,111,2,1,78,,,,,2,,22
2.01E+12,1,27,1,1,35,1,,,,5,,22
2.01E+12,2,32,2,1,38,6,5,,12,3,,21
2.01E+12,1,86,2,1,60,1,30,,2,5,,16
2.01E+12,1,14,1,2,62,,,,,1,,1
2.01E+12,1,22,2,1,29,7,,,11,5,16,22
2.01E+12,1,26,2,1,54,1,20,,10,5,,22
2.01E+12,1,16,2,1,21,1,,,,5,15,19
2.01E+12,1,27,2,1,68,6,10,,10,1,,24
2.01E+12,2,27,1,1,74,2,25,,2,1,,24
2.01E+12,1,29,2,1,27,1,40,,4,5,,21
2.01E+12,1,22,2,1,55,,,,,2,,21
2.01E+12,1,27,2,1,41,6,,,,1,,21
2.01E+12,2,23,1,1,43,2,10,,10,1,,23
2.01E+12,3,23,2,1,9,,,,,5,5,6
2.01E+12,4,23,2,1,6,,,,,5,3,4
2.01E+12,1,35,1,1,44,1,,,11,5,,21
2.01E+12,1,32,1,1,48,1,30,,9,1,,22
2.01E+12,2,32,2,1,44,1,60,,10,1,,21
2.01E+12,1,23,2,1,67,2,20,,9,1,,22
2.01E+12,2,24,1,1,86,,,,,1,,22
2.01E+12,1,26,1,1,66,2,30,,2,1,,23
2.01E+12,2,30,2,1,52,7,,,,1,16,22
2.01E+12,3,21,2,8,18,1,,,,5,14,16
2.01E+12,1,61,1,1,24,1,20,,2,5,,21
2.01E+12,1,14,1,1,41,6,20,,4,1,,23
2.01E+12,2,16,2,1,40,,,,,1,,21
2.01E+12,3,14,2,1,8,,,,,5,5,5
2.01E+12,4,18,1,1,6,,,,,5,2,2
2.01E+12,1,31,2,1,84,6,,,,2,,22
2.01E+12,1,16,2,6,24,1,,,11,5,15,21
