CplxID,Borough,CplxName,Routes,CplxLat,CplxLong,Hub,Time,PreEntries,NadirEntries,LatestEntries,Diff1,DiffPct1,Diff2,DiffPct2
635.0,M,South Ferry / Whitehall,R W 1,40.703087,-74.012994,1.0,05:00:00-09:00:00,6781.317073170731,488.25,1688.0,-6293.067073170731,-0.9280007121431192,1199.75,2.4572452636968767
86.0,Bk,Cypress Hills,J,40.689941,-73.87255,0.0,08:00:00-12:00:00,388.8048780487805,44.75,117.0,-344.0548780487805,-0.8849037074211153,72.25,1.6145251396648044
85.0,Q,75 St,J Z,40.691324,-73.867139,0.0,08:00:00-12:00:00,991.675,124.5,339.0,-867.175,-0.8744548365139788,214.5,1.7228915662650603
84.0,Q,85 St - Forest Pkwy,J,40.692435,-73.86001,0.0,08:00:00-12:00:00,1090.341463414634,108.25,377.3333333333333,-982.0914634146341,-0.9007191750178954,269.0833333333333,2.4857582755966128
83.0,Q,Woodhaven Blvd,J Z,40.693879,-73.851576,0.0,08:00:00-12:00:00,1256.0243902439024,129.75,357.25,-1126.2743902439024,-0.8966978658951007,227.5,1.7533718689788054
82.0,Q,104 St,J Z,40.695178,-73.84433,0.0,08:00:00-12:00:00,589.5853658536586,70.5,215.5,-519.0853658536586,-0.8804244404914574,145.0,2.0567375886524824
81.0,Q,111 St,J,40.697418,-73.836345,0.0,08:00:00-12:00:00,416.75,52.0,151.5,-364.75,-0.8752249550089982,99.5,1.9134615384615385
80.0,Q,121 St,J Z,40.700492,-73.828294,0.0,08:00:00-12:00:00,554.439024390244,54.0,158.75,-500.43902439024396,-0.9026042583142706,104.75,1.9398148148148149
611.0,M,Times Sq - 42 St / Port Authority Bus Terminal,N Q R W A C E 1 2 3 7 S,40.755905,-73.986504,1.0,06:00:00-10:00:00|08:00:00-12:00:00,39270.39024390244,1580.75,5473.75,-37689.64024390244,-0.9597470259352606,3893.0,2.462755021350625
164.0,M,34 St - Penn Station,A C E,40.752287,-73.993391,1.0,08:00:00-12:00:00,25753.243902439022,580.5,2422.25,-25172.743902439022,-0.9774591503035848,1841.75,3.172695951765719
628.0,M,Fulton St,J Z A C 2 3 4 5,40.709938,-74.007983,1.0,05:00:00-09:00:00|07:00:00-11:00:00,11934.463414634147,877.0,2500.25,-11057.463414634147,-0.9265153388526363,1623.25,1.8509122006841505
276.0,M,5 Av/53 St,E M,40.760167,-73.975224,1.0,06:00:00-10:00:00,691.8048780487804,38.0,128.5,-653.8048780487804,-0.945071217035679,90.5,2.3815789473684212
612.0,M,Lexington Av / 51 St,E M 6,40.758353,-73.970991,1.0,08:00:00-12:00:00,8558.951219512195,266.0,921.5,-8292.951219512195,-0.9689214258642357,655.5,2.4642857142857144
616.0,Q,Jackson Hts-Roosevelt Av / 74 St,E F M R 7,40.746655,-73.891361,0.0,08:00:00-12:00:00,16188.09756097561,1098.75,4530.75,-15089.34756097561,-0.9321260576876718,3432.0,3.1235494880546075
254.0,Q,Jamaica - 179 St,F,40.712646,-73.783817,0.0,08:00:00-12:00:00,6280.463414634146,428.25,1555.5,-5852.213414634146,-0.931812356552841,1127.25,2.6322241681260947
225.0,M,47-50 Sts - Rockefeller Ctr,B D F M,40.758663,-73.981329,1.0,08:00:00-12:00:00,4052.9268292682927,166.0,647.5,-3886.9268292682927,-0.9590419449960883,481.5,2.9006024096385543
609.0,M,42 St - Bryant Pk / 5 Av,B D F M 7,40.754198,-73.984573,1.0,08:00:00-12:00:00,4796.821815718157,223.0,746.25,-4573.821815718157,-0.9535108852137728,523.25,2.346412556053812
607.0,M,34 St - Herald Sq,N Q R W B D F M,40.749533,-73.987899,1.0,08:00:00-12:00:00,21927.39024390244,726.25,2912.25,-21201.14024390244,-0.9668793234433379,2186.0,3.0099827882960413
279.0,Q,Sutphin Blvd - Archer Av - JFK Airport,E J Z,40.700486,-73.807969,0.0,08:00:00-12:00:00,5857.585365853659,528.0,1365.75,-5329.585365853659,-0.9098604686023126,837.75,1.5866477272727273
278.0,Q,Jamaica Center - Parsons/Archer,E J Z,40.702147,-73.801109,0.0,08:00:00-12:00:00,8390.078947368422,989.0,2258.75,-7401.078947368422,-0.8821226824915392,1269.75,1.2838725985844288
333.0,M,Wall St,2 3,40.706821,-74.0091,1.0,08:00:00-12:00:00,3331.048780487805,79.5,273.5,-3251.548780487805,-0.9761336428137333,194.0,2.440251572327044
624.0,M,Chambers St / WTC / Park Place / Cortlandt St,A C E 2 3 R W,40.712582,-74.009781,1.0,05:00:00-09:00:00|08:00:00-12:00:00,9031.268292682926,356.5,1368.75,-8674.768292682926,-0.9605260315111186,1012.25,2.8394109396914446
327.0,M,Chambers St,1 2 3,40.715478,-74.009266,1.0,08:00:00-12:00:00,3007.95,95.0,283.25,-2912.95,-0.9684170282085806,188.25,1.981578947368421
